pais,año,esperanza_vida
Argentina,1960,64.24
Argentina,1961,64.63
Argentina,1962,64.62
Argentina,1963,64.86
Argentina,1964,64.82
Argentina,1965,65.05
Argentina,1966,65.4
Argentina,1967,65.47
Argentina,1968,65.23
Argentina,1969,65.08
Argentina,1970,65.65
Argentina,1971,65.62
Argentina,1972,65.95
Argentina,1973,66.19
Argentina,1974,66.41
Argentina,1975,66.97
Argentina,1976,67.03
Argentina,1977,67.59
Argentina,1978,68.0
Argentina,1979,68.43
Argentina,1980,68.58
Argentina,1981,68.86
Argentina,1982,68.97
Argentina,1983,69.29
Argentina,1984,69.35
Argentina,1985,69.88
Argentina,1986,70.28
Argentina,1987,70.7
Argentina,1988,71.1
Argentina,1989,71.5
Argentina,1990,71.61
Argentina,1991,72.02
Argentina,1992,72.1
Argentina,1993,72.3
Argentina,1994,72.73
Argentina,1995,72.86
Argentina,1996,73.06
Argentina,1997,73.41
Argentina,1998,73.41
Argentina,1999,73.68
Argentina,2000,73.91
Argentina,2001,74.15
Argentina,2002,74.31
Argentina,2003,74.31
Argentina,2004,74.87
Argentina,2005,75.23
Argentina,2006,75.28
Argentina,2007,74.78
Argentina,2008,75.43
Argentina,2009,75.58
Argentina,2010,75.68
Argentina,2011,76.1
Argentina,2012,75.8
Argentina,2013,75.83
Argentina,2014,76.27
Argentina,2015,76.6
Argentina,2016,76.11
Argentina,2017,76.54
Argentina,2018,76.77
Argentina,2019,76.85
Argentina,2020,75.88
Argentina,2021,73.95
Argentina,2022,75.81
Argentina,2023,77.39
Brasil,1960,53.16
Brasil,1961,53.59
Brasil,1962,54.02
Brasil,1963,54.45
Brasil,1964,54.85
Brasil,1965,55.24
Brasil,1966,55.62
Brasil,1967,56.02
Brasil,1968,56.47
Brasil,1969,56.9
Brasil,1970,57.34
Brasil,1971,57.79
Brasil,1972,58.26
Brasil,1973,58.68
Brasil,1974,59.08
Brasil,1975,59.56
Brasil,1976,60.01
Brasil,1977,60.46
Brasil,1978,60.92
Brasil,1979,61.37
Brasil,1980,61.82
Brasil,1981,62.27
Brasil,1982,62.71
Brasil,1983,63.13
Brasil,1984,63.55
Brasil,1985,63.98
Brasil,1986,64.39
Brasil,1987,64.78
Brasil,1988,65.16
Brasil,1989,65.51
Brasil,1990,65.86
Brasil,1991,66.2
Brasil,1992,66.54
Brasil,1993,66.89
Brasil,1994,67.29
Brasil,1995,67.7
Brasil,1996,68.11
Brasil,1997,68.5
Brasil,1998,68.85
Brasil,1999,69.21
Brasil,2000,69.58
Brasil,2001,69.98
Brasil,2002,70.4
Brasil,2003,70.88
Brasil,2004,71.36
Brasil,2005,71.83
Brasil,2006,72.3
Brasil,2007,72.73
Brasil,2008,73.11
Brasil,2009,73.46
Brasil,2010,73.78
Brasil,2011,74.05
Brasil,2012,74.33
Brasil,2013,74.61
Brasil,2014,74.82
Brasil,2015,75.11
Brasil,2016,75.08
Brasil,2017,75.38
Brasil,2018,75.63
Brasil,2019,75.81
Brasil,2020,74.51
